County,Antlered.Buck,Button.Buck,Doe,Total,huntType
Adair,1489,206,1128,2823,All Hunts
Andrew,676,79,360,1115,All Hunts
Atchison,410,18,134,562,All Hunts
Audrain,1048,330,1256,2634,All Hunts
Barry,1375,250,1230,2855,All Hunts
Barton,993,152,821,1966,All Hunts
Bates,1165,207,1025,2397,All Hunts
Benton,1979,439,2274,4692,All Hunts
Bollinger,1476,514,2058,4048,All Hunts
Boone,1616,305,1723,3644,All Hunts
Buchanan,488,59,343,890,All Hunts
Butler,968,169,908,2045,All Hunts
Caldwell,1040,136,743,1919,All Hunts
Callaway,2255,626,2894,5775,All Hunts
Camden,1910,325,1628,3863,All Hunts
Cape Girardeau,1296,314,1689,3299,All Hunts
Carroll,1408,194,1143,2745,All Hunts
Carter,1276,260,1406,2942,All Hunts
Cass,1334,193,1135,2662,All Hunts
Cedar,1289,209,1160,2658,All Hunts
Chariton,1202,145,911,2258,All Hunts
Christian,1314,225,1156,2695,All Hunts
Clark,1278,227,1202,2707,All Hunts
Clay,603,82,432,1117,All Hunts
Clinton,514,59,316,889,All Hunts
Cole,794,216,1039,2049,All Hunts
Cooper,1077,221,1289,2587,All Hunts
Crawford,1949,457,2000,4406,All Hunts
Dade,881,147,759,1787,All Hunts
Dallas,1555,363,1524,3442,All Hunts
Daviess,1368,255,1392,3015,All Hunts
Dekalb,582,71,405,1058,All Hunts
Dent,1508,339,2018,3865,All Hunts
Douglas,1867,351,1920,4138,All Hunts
Dunklin,297,34,209,540,All Hunts
Franklin,3312,657,3428,7397,All Hunts
Gasconade,1942,349,1811,4102,All Hunts
Gentry,852,119,639,1610,All Hunts
Greene,1615,279,1492,3386,All Hunts
Grundy,949,138,769,1856,All Hunts
Harrison,1891,214,1518,3623,All Hunts
Henry,1514,387,1853,3754,All Hunts
Hickory,1333,288,1305,2926,All Hunts
Holt,487,45,303,835,All Hunts
Howard,1069,170,1202,2441,All Hunts
Howell,2629,581,3136,6346,All Hunts
Iron,831,237,775,1843,All Hunts
Jackson,1075,176,1123,2374,All Hunts
Jasper,1349,173,1069,2591,All Hunts
Jefferson,2530,497,2730,5757,All Hunts
Johnson,1626,338,1526,3490,All Hunts
Knox,1183,241,1169,2593,All Hunts
Laclede,1854,329,1818,4001,All Hunts
Lafayette,814,116,668,1598,All Hunts
Lawrence,1094,151,871,2116,All Hunts
Lewis,1006,250,1103,2359,All Hunts
Lincoln,1802,460,2253,4515,All Hunts
Linn,1507,209,1257,2973,All Hunts
Livingston,1155,135,863,2153,All Hunts
Macon,2282,393,2071,4746,All Hunts
Madison,1034,318,1350,2702,All Hunts
Maries,1066,246,1079,2391,All Hunts
Marion,1066,238,1213,2517,All Hunts
Mcdonald,1254,163,877,2294,All Hunts
Mercer,1119,105,885,2109,All Hunts
Miller,1254,344,1445,3043,All Hunts
Mississippi,201,19,79,299,All Hunts
Moniteau,755,211,982,1948,All Hunts
Monroe,1575,385,1934,3894,All Hunts
Montgomery,1611,392,1642,3645,All Hunts
Morgan,1730,470,2091,4291,All Hunts
New Madrid,255,18,132,405,All Hunts
Newton,1648,220,1175,3043,All Hunts
Nodaway,921,57,455,1433,All Hunts
Oregon,1769,464,2388,4621,All Hunts
Osage,1582,383,2001,3966,All Hunts
Ozark,1538,241,1478,3257,All Hunts
Pemiscot,129,18,73,220,All Hunts
Perry,1256,337,1773,3366,All Hunts
Pettis,1338,281,1527,3146,All Hunts
Phelps,1322,310,1362,2994,All Hunts
Pike,1876,480,2499,4855,All Hunts
Platte,649,77,483,1209,All Hunts
Polk,1619,301,1459,3379,All Hunts
Pulaski,1354,271,1403,3028,All Hunts
Putnam,1333,127,958,2418,All Hunts
Ralls,1138,266,1329,2733,All Hunts
Randolph,1314,227,1446,2987,All Hunts
Ray,1031,130,585,1746,All Hunts
Reynolds,1210,329,1596,3135,All Hunts
Ripley,1390,383,2045,3818,All Hunts
Saint Charles,1030,221,1046,2297,All Hunts
Saint Clair,1806,371,1813,3990,All Hunts
Saint Francois,1291,391,1588,3270,All Hunts
Saint Louis,845,167,1003,2015,All Hunts
Sainte Genevieve,1401,291,1350,3042,All Hunts
Saline,1067,167,964,2198,All Hunts
Schuyler,818,149,691,1658,All Hunts
Scotland,1171,272,1128,2571,All Hunts
Scott,414,72,428,914,All Hunts
Shannon,1530,358,2258,4146,All Hunts
Shelby,1110,270,1237,2617,All Hunts
Stoddard,930,215,1013,2158,All Hunts
Stone,1187,166,1034,2387,All Hunts
Sullivan,1504,157,1093,2754,All Hunts
Taney,1463,197,1145,2805,All Hunts
Texas,2548,511,3131,6190,All Hunts
Vernon,1569,236,1392,3197,All Hunts
Warren,1485,310,1515,3310,All Hunts
Washington,1564,493,2049,4106,All Hunts
Wayne,1888,421,1705,4014,All Hunts
Webster,1475,332,1537,3344,All Hunts
Worth,645,60,470,1175,All Hunts
Wright,1791,347,1788,3926,All Hunts
Adair,5,6,31,42,Managed Hunt
Andrew,0,0,0,0,Managed Hunt
Atchison,0,0,0,0,Managed Hunt
Audrain,0,1,1,2,Managed Hunt
Barry,0,0,0,0,Managed Hunt
Barton,0,0,0,0,Managed Hunt
Bates,0,0,0,0,Managed Hunt
Benton,7,12,25,44,Managed Hunt
Bollinger,1,0,1,2,Managed Hunt
Boone,0,0,0,0,Managed Hunt
Buchanan,0,0,1,1,Managed Hunt
Butler,5,0,2,7,Managed Hunt
Caldwell,0,0,0,0,Managed Hunt
Callaway,23,33,106,162,Managed Hunt
Camden,0,0,0,0,Managed Hunt
Cape Girardeau,3,2,18,23,Managed Hunt
Carroll,1,0,0,1,Managed Hunt
Carter,38,11,44,93,Managed Hunt
Cass,0,0,1,1,Managed Hunt
Cedar,10,2,11,23,Managed Hunt
Chariton,11,0,4,15,Managed Hunt
Christian,1,0,0,1,Managed Hunt
Clark,0,0,1,1,Managed Hunt
Clay,22,18,49,89,Managed Hunt
Clinton,3,0,1,4,Managed Hunt
Cole,3,1,2,6,Managed Hunt
Cooper,0,0,1,1,Managed Hunt
Crawford,1,0,0,1,Managed Hunt
Dade,1,0,1,2,Managed Hunt
Dallas,0,0,0,0,Managed Hunt
Daviess,1,0,0,1,Managed Hunt
Dekalb,0,0,0,0,Managed Hunt
Dent,0,0,0,0,Managed Hunt
Douglas,0,0,1,1,Managed Hunt
Dunklin,0,0,0,0,Managed Hunt
Franklin,7,5,37,49,Managed Hunt
Gasconade,1,0,0,1,Managed Hunt
Gentry,1,0,0,1,Managed Hunt
Greene,9,7,23,39,Managed Hunt
Grundy,1,1,12,14,Managed Hunt
Harrison,0,0,0,0,Managed Hunt
Henry,0,3,2,5,Managed Hunt
Hickory,1,2,9,12,Managed Hunt
Holt,3,0,2,5,Managed Hunt
Howard,0,3,8,11,Managed Hunt
Howell,1,0,1,2,Managed Hunt
Iron,0,0,0,0,Managed Hunt
Jackson,118,41,416,575,Managed Hunt
Jasper,0,0,0,0,Managed Hunt
Jefferson,2,0,4,6,Managed Hunt
Johnson,23,35,82,140,Managed Hunt
Knox,0,0,0,0,Managed Hunt
Laclede,0,0,0,0,Managed Hunt
Lafayette,0,0,2,2,Managed Hunt
Lawrence,0,0,0,0,Managed Hunt
Lewis,1,0,0,1,Managed Hunt
Lincoln,19,10,41,70,Managed Hunt
Linn,0,15,19,34,Managed Hunt
Livingston,0,0,0,0,Managed Hunt
Macon,8,2,22,32,Managed Hunt
Madison,0,0,0,0,Managed Hunt
Maries,1,0,0,1,Managed Hunt
Marion,0,0,0,0,Managed Hunt
Mcdonald,1,0,0,1,Managed Hunt
Mercer,0,0,0,0,Managed Hunt
Miller,0,0,0,0,Managed Hunt
Mississippi,0,0,0,0,Managed Hunt
Moniteau,0,0,0,0,Managed Hunt
Monroe,2,3,11,16,Managed Hunt
Montgomery,0,0,0,0,Managed Hunt
Morgan,0,0,0,0,Managed Hunt
New Madrid,0,0,0,0,Managed Hunt
Newton,14,1,11,26,Managed Hunt
Nodaway,0,0,0,0,Managed Hunt
Oregon,0,0,1,1,Managed Hunt
Osage,0,0,0,0,Managed Hunt
Ozark,14,7,23,44,Managed Hunt
Pemiscot,0,0,0,0,Managed Hunt
Perry,0,0,0,0,Managed Hunt
Pettis,0,0,0,0,Managed Hunt
Phelps,0,0,0,0,Managed Hunt
Pike,5,3,5,13,Managed Hunt
Platte,0,0,1,1,Managed Hunt
Polk,0,0,1,1,Managed Hunt
Pulaski,0,0,0,0,Managed Hunt
Putnam,0,0,0,0,Managed Hunt
Ralls,0,0,1,1,Managed Hunt
Randolph,0,0,1,1,Managed Hunt
Ray,0,0,0,0,Managed Hunt
Reynolds,0,0,0,0,Managed Hunt
Ripley,0,0,0,0,Managed Hunt
Saint Charles,114,39,122,275,Managed Hunt
Saint Clair,1,0,0,1,Managed Hunt
Saint Francois,1,0,8,9,Managed Hunt
Saint Louis,70,40,173,283,Managed Hunt
Sainte Genevieve,0,0,1,1,Managed Hunt
Saline,0,0,0,0,Managed Hunt
Schuyler,1,0,0,1,Managed Hunt
Scotland,0,0,0,0,Managed Hunt
Scott,0,0,0,0,Managed Hunt
Shannon,10,4,17,31,Managed Hunt
Shelby,0,0,0,0,Managed Hunt
Stoddard,11,0,8,19,Managed Hunt
Stone,0,0,0,0,Managed Hunt
Sullivan,1,0,0,1,Managed Hunt
Taney,0,0,0,0,Managed Hunt
Texas,0,1,2,3,Managed Hunt
Vernon,0,0,0,0,Managed Hunt
Warren,0,0,2,2,Managed Hunt
Washington,0,0,1,1,Managed Hunt
Wayne,12,2,3,17,Managed Hunt
Webster,0,0,0,0,Managed Hunt
Worth,0,0,0,0,Managed Hunt
Wright,0,1,0,1,Managed Hunt
Adair,309,33,207,549,Archery
Andrew,108,21,99,228,Archery
Atchison,76,7,78,161,Archery
Audrain,157,37,164,358,Archery
Barry,217,44,219,480,Archery
Barton,143,25,158,326,Archery
Bates,166,30,200,396,Archery
Benton,319,51,425,795,Archery
Bollinger,196,73,325,594,Archery
Boone,348,58,383,789,Archery
Buchanan,81,10,63,154,Archery
Butler,216,44,269,529,Archery
Caldwell,159,13,121,293,Archery
Callaway,376,92,439,907,Archery
Camden,359,46,343,748,Archery
Cape Girardeau,168,30,260,458,Archery
Carroll,187,18,166,371,Archery
Carter,246,75,424,745,Archery
Cass,257,30,245,532,Archery
Cedar,166,24,181,371,Archery
Chariton,141,18,109,268,Archery
Christian,226,45,223,494,Archery
Clark,330,18,207,555,Archery
Clay,178,20,151,349,Archery
Clinton,76,7,47,130,Archery
Cole,130,26,157,313,Archery
Cooper,157,39,176,372,Archery
Crawford,284,52,284,620,Archery
Dade,113,21,98,232,Archery
Dallas,236,57,271,564,Archery
Daviess,239,40,280,559,Archery
Dekalb,82,10,71,163,Archery
Dent,178,42,257,477,Archery
Douglas,256,50,283,589,Archery
Dunklin,46,11,61,118,Archery
Franklin,508,91,607,1206,Archery
Gasconade,259,41,237,537,Archery
Gentry,138,13,96,247,Archery
Greene,372,53,335,760,Archery
Grundy,171,20,112,303,Archery
Harrison,393,26,334,753,Archery
Henry,246,74,332,652,Archery
Hickory,195,35,204,434,Archery
Holt,69,10,95,174,Archery
Howard,147,19,148,314,Archery
Howell,383,69,406,858,Archery
Iron,99,46,151,296,Archery
Jackson,391,55,341,787,Archery
Jasper,261,24,221,506,Archery
Jefferson,575,115,755,1445,Archery
Johnson,280,47,270,597,Archery
Knox,229,21,197,447,Archery
Laclede,252,49,297,598,Archery
Lafayette,116,18,96,230,Archery
Lawrence,188,26,176,390,Archery
Lewis,185,37,168,390,Archery
Lincoln,287,68,392,747,Archery
Linn,252,26,222,500,Archery
Livingston,169,15,152,336,Archery
Macon,393,59,377,829,Archery
Madison,117,45,188,350,Archery
Maries,166,35,163,364,Archery
Marion,191,36,191,418,Archery
Mcdonald,212,25,129,366,Archery
Mercer,253,13,147,413,Archery
Miller,198,32,202,432,Archery
Mississippi,24,6,24,54,Archery
Moniteau,103,29,88,220,Archery
Monroe,230,54,270,554,Archery
Montgomery,218,52,240,510,Archery
Morgan,301,78,382,761,Archery
New Madrid,32,5,43,80,Archery
Newton,345,34,269,648,Archery
Nodaway,161,5,101,267,Archery
Oregon,275,59,317,651,Archery
Osage,249,47,273,569,Archery
Ozark,196,24,190,410,Archery
Pemiscot,17,4,21,42,Archery
Perry,87,25,206,318,Archery
Pettis,192,39,280,511,Archery
Phelps,234,52,223,509,Archery
Pike,322,70,382,774,Archery
Platte,178,22,210,410,Archery
Polk,242,44,257,543,Archery
Pulaski,275,61,317,653,Archery
Putnam,347,18,235,600,Archery
Ralls,197,32,195,424,Archery
Randolph,211,33,227,471,Archery
Ray,123,14,86,223,Archery
Reynolds,171,56,263,490,Archery
Ripley,236,45,263,544,Archery
Saint Charles,226,39,231,496,Archery
Saint Clair,262,77,366,705,Archery
Saint Francois,192,62,297,551,Archery
Saint Louis,421,71,533,1025,Archery
Sainte Genevieve,134,33,197,364,Archery
Saline,139,22,150,311,Archery
Schuyler,163,16,115,294,Archery
Scotland,255,47,220,522,Archery
Scott,61,16,108,185,Archery
Shannon,216,32,227,475,Archery
Shelby,221,31,213,465,Archery
Stoddard,175,62,326,563,Archery
Stone,198,27,219,444,Archery
Sullivan,331,27,242,600,Archery
Taney,240,27,195,462,Archery
Texas,334,62,396,792,Archery
Vernon,246,31,301,578,Archery
Warren,222,46,260,528,Archery
Washington,233,70,331,634,Archery
Wayne,300,112,416,828,Archery
Webster,238,43,261,542,Archery
Worth,160,10,115,285,Archery
Wright,259,58,263,580,Archery
Adair,1175,167,890,2232,Firearms
Andrew,568,58,261,887,Firearms
Atchison,334,11,56,401,Firearms
Audrain,891,292,1091,2274,Firearms
Barry,1158,206,1011,2375,Firearms
Barton,850,127,663,1640,Firearms
Bates,999,177,825,2001,Firearms
Benton,1653,376,1824,3853,Firearms
Bollinger,1279,441,1732,3452,Firearms
Boone,1268,247,1340,2855,Firearms
Buchanan,407,49,279,735,Firearms
Butler,747,125,637,1509,Firearms
Caldwell,881,123,622,1626,Firearms
Callaway,1856,501,2349,4706,Firearms
Camden,1551,279,1285,3115,Firearms
Cape Girardeau,1125,282,1411,2818,Firearms
Carroll,1220,176,977,2373,Firearms
Carter,992,174,938,2104,Firearms
Cass,1077,163,889,2129,Firearms
Cedar,1113,183,968,2264,Firearms
Chariton,1050,127,798,1975,Firearms
Christian,1087,180,933,2200,Firearms
Clark,948,209,994,2151,Firearms
Clay,403,44,232,679,Firearms
Clinton,435,52,268,755,Firearms
Cole,661,189,880,1730,Firearms
Cooper,920,182,1112,2214,Firearms
Crawford,1664,405,1716,3785,Firearms
Dade,767,126,660,1553,Firearms
Dallas,1319,306,1253,2878,Firearms
Daviess,1128,215,1112,2455,Firearms
Dekalb,500,61,334,895,Firearms
Dent,1330,297,1761,3388,Firearms
Douglas,1611,301,1636,3548,Firearms
Dunklin,251,23,148,422,Firearms
Franklin,2797,561,2784,6142,Firearms
Gasconade,1682,308,1574,3564,Firearms
Gentry,713,106,543,1362,Firearms
Greene,1234,219,1134,2587,Firearms
Grundy,777,117,645,1539,Firearms
Harrison,1498,188,1184,2870,Firearms
Henry,1268,310,1519,3097,Firearms
Hickory,1137,251,1092,2480,Firearms
Holt,415,35,206,656,Firearms
Howard,922,148,1046,2116,Firearms
Howell,2245,512,2729,5486,Firearms
Iron,732,191,624,1547,Firearms
Jackson,566,80,366,1012,Firearms
Jasper,1088,149,848,2085,Firearms
Jefferson,1953,382,1971,4306,Firearms
Johnson,1323,256,1174,2753,Firearms
Knox,954,220,972,2146,Firearms
Laclede,1602,280,1521,3403,Firearms
Lafayette,698,98,570,1366,Firearms
Lawrence,906,125,695,1726,Firearms
Lewis,820,213,935,1968,Firearms
Lincoln,1496,382,1820,3698,Firearms
Linn,1255,168,1016,2439,Firearms
Livingston,986,120,711,1817,Firearms
Macon,1881,332,1672,3885,Firearms
Madison,917,273,1162,2352,Firearms
Maries,899,211,916,2026,Firearms
Marion,875,202,1022,2099,Firearms
Mcdonald,1041,138,748,1927,Firearms
Mercer,866,92,738,1696,Firearms
Miller,1056,312,1243,2611,Firearms
Mississippi,177,13,55,245,Firearms
Moniteau,652,182,894,1728,Firearms
Monroe,1343,328,1653,3324,Firearms
Montgomery,1393,340,1402,3135,Firearms
Morgan,1429,392,1709,3530,Firearms
New Madrid,223,13,89,325,Firearms
Newton,1289,185,895,2369,Firearms
Nodaway,760,52,354,1166,Firearms
Oregon,1494,405,2070,3969,Firearms
Osage,1333,336,1728,3397,Firearms
Ozark,1328,210,1265,2803,Firearms
Pemiscot,112,14,52,178,Firearms
Perry,1169,312,1567,3048,Firearms
Pettis,1146,242,1247,2635,Firearms
Phelps,1088,258,1139,2485,Firearms
Pike,1549,407,2112,4068,Firearms
Platte,471,55,272,798,Firearms
Polk,1377,257,1201,2835,Firearms
Pulaski,1079,210,1086,2375,Firearms
Putnam,986,109,723,1818,Firearms
Ralls,941,234,1133,2308,Firearms
Randolph,1103,194,1218,2515,Firearms
Ray,908,116,499,1523,Firearms
Reynolds,1039,273,1333,2645,Firearms
Ripley,1154,338,1782,3274,Firearms
Saint Charles,690,143,693,1526,Firearms
Saint Clair,1543,294,1447,3284,Firearms
Saint Francois,1098,329,1283,2710,Firearms
Saint Louis,354,56,297,707,Firearms
Sainte Genevieve,1267,258,1152,2677,Firearms
Saline,928,145,814,1887,Firearms
Schuyler,654,133,576,1363,Firearms
Scotland,916,225,908,2049,Firearms
Scott,353,56,320,729,Firearms
Shannon,1304,322,2014,3640,Firearms
Shelby,889,239,1024,2152,Firearms
Stoddard,744,153,679,1576,Firearms
Stone,989,139,815,1943,Firearms
Sullivan,1172,130,851,2153,Firearms
Taney,1223,170,950,2343,Firearms
Texas,2214,448,2733,5395,Firearms
Vernon,1323,205,1091,2619,Firearms
Warren,1263,264,1253,2780,Firearms
Washington,1331,423,1717,3471,Firearms
Wayne,1576,307,1286,3169,Firearms
Webster,1237,289,1276,2802,Firearms
Worth,485,50,355,890,Firearms
Wright,1532,288,1525,3345,Firearms
